Name,Wiki Summary
"
Moon Jae-in","Moon Jae-in (Korean: 문재인; Hanja: 文在寅; Korean pronunciation: [mun.dʑɛ.in]; born January 24, 1953) is a South Korean politician and former lawyer who has been serving as the president of South Korea since 2017. Prior to his presidency, he served as senior secretary for civil affairs as well as chief of staff to Roh Moo-hyun, member of the 19th National Assembly, and leader of the Democratic Party of Korea (DPK)."
Government North Korea,"In the North Korean government, the Cabinet is the administrative and executive body. The North Korean government consists of three branches: administrative, legislative, and judicial."
Ri Son Gwon,"Ri Son-gwon (Korean: 리선권) is a North Korean politician and diplomat who has served as chairman of the Committee for the Peaceful Reunification of the Fatherland. In January 2020, he was named in media reports as the successor for Foreign Minister Ri Yong-ho."
Cho Myoung- Gyon,"Cho Myoung-gyon (Korean: 조명균; Hanja: 趙明均; born 17 November 1957) is a South Korean politician previously served as President Moon Jae-in's first Minister of Unification.
After passing the state exam in 1979, Cho spent most of his career at the Ministry of Unification."
Paul Selva,"Paul Joseph Selva (born September 27, 1958) is a retired United States Air Force general who served as the tenth vice chairman of the Joint Chiefs of Staff. In this capacity, he was the nation's second-highest-ranking military officer, and the highest-ranking officer in the Air Force."
Official South Korean,"South Korea, officially the Republic of Korea (ROK), is a country in East Asia, constituting the southern part of the Korean Peninsula and sharing a land border with North Korea. Its western border is formed by the Yellow Sea, while its eastern border is defined by the Sea of Japan."
Statement KCNA,The Korean Central News Agency (KCNA) is the state news agency of North Korea. The agency portrays the views of the North Korean government for both domestic and foreign consumption.
Donald Trump OLD,"Donald John Trump (born June 14, 1946) is an American politician, media personality, and businessman who served as the 45th president of the United States from 2017 to 2021.
Born and raised in Queens, New York City, Trump graduated from the Wharton School of the University of Pennsylvania with a bachelor's degree in 1968."
Tulsi Gabbard,"Tulsi Gabbard (; born April 12, 1981) is an American politician and United States Army Reserve officer who served as the U.S. representative for Hawaii's 2nd congressional district from 2013 to 2021. Elected in 2012, she was the first Hindu member of Congress and also the first Samoan-American voting member of Congress."
Mazie Hirono,"Mazie Keiko Hirono (; Japanese name: 広野 慶子, Hirono Keiko; born November 3, 1947) is an American lawyer and politician serving as the junior United States senator from Hawaii since 2013. She is a member of the Democratic Party."
