Republican (28)   Democratic (22),Republican (28)   Democratic (22),Republican (28)   Democratic (22),Republican (28)   Democratic (22),Republican (28)   Democratic (22),Republican (28)   Democratic (22),Republican (28)   Democratic (22),Republican (28)   Democratic (22),Republican (28)   Democratic (22),Republican (28)   Democratic (22),Republican (28)   Democratic (22)
State,Portrait,Governor,Party,Party,Born,Prior public experience,Inauguration,End of term,Past governors
Alabama,,Kay Ivey,,Republican,"October 15, 1944 (age 77)","Lieutenant Governor, Treasurer","April 10, 2017",2023,List
Alaska,,Mike Dunleavy,,Republican,"May 5, 1961 (age 60)",Alaska Senate,"December 3, 2018",2022,List
Arizona,,Doug Ducey,,Republican,"April 9, 1964 (age 57)",Treasurer,"January 5, 2015",2023 (term limits),List
Arkansas,,Asa Hutchinson,,Republican,"December 3, 1950 (age 71)","Under Secretary of Homeland Security for Border & Transportation Security, Administrator of the Drug Enforcement Administration, U.S. House, U.S. Attorney","January 13, 2015",2023 (term limits),List
California,,Gavin Newsom,,Democratic,"October 10, 1967 (age 54)","Lieutenant Governor, Mayor of San Francisco","January 7, 2019",2023,List
Colorado,,Jared Polis,,Democratic,"May 12, 1975 (age 46)","U.S. House, Colorado State Board of Education","January 8, 2019",2023,List
Connecticut,,Ned Lamont,,Democratic,"January 3, 1954 (age 68)",Greenwich Selectman,"January 9, 2019",2023,List
Delaware,,John Carney,,Democratic,"May 20, 1956 (age 65)","U.S. House, Lieutenant Governor","January 17, 2017",2025 (term limits),List
Florida,,Ron DeSantis,,Republican,"September 14, 1978 (age 43)",U.S. House,"January 8, 2019",2023,List
Georgia,,Brian Kemp,,Republican,"November 2, 1963 (age 58)","Secretary of State, Georgia Senate","January 14, 2019",2023,List
Hawaii,,David Ige,,Democratic,"January 15, 1957 (age 65)","Hawaii Senate, Hawaii House","December 1, 2014",2022 (term limits),List
Idaho,,Brad Little,,Republican,"February 15, 1954 (age 68)","Lieutenant Governor, Idaho Senate","January 7, 2019",2023,List
Illinois,,J. B. Pritzker,,Democratic,"January 19, 1965 (age 57)",No prior public experience,"January 14, 2019",2023,List
Indiana,,Eric Holcomb,,Republican,"May 2, 1968 (age 53)","Lieutenant Governor, Chief of Staff to Senator Dan Coats, Chair of the Indiana Republican Party, Deputy Chief of Staff to the Governor of Indiana","January 9, 2017",2025 (term limits),List
Iowa,,Kim Reynolds,,Republican,"August 4, 1959 (age 62)","Lieutenant Governor, Iowa Senate","May 24, 2017",2023,List
Kansas,,Laura Kelly,,Democratic,"January 24, 1950 (age 72)",Kansas Senate,"January 14, 2019",2023,List
Kentucky,,Andy Beshear,,Democratic,"November 29, 1977 (age 44)",Attorney General,"December 10, 2019",2023,List
Louisiana,,John Bel Edwards,,Democratic,"September 16, 1966 (age 55)",Minority Leader of the Louisiana House,"January 11, 2016",2024 (term limits),List
Maine,,Janet Mills,,Democratic,"December 30, 1947 (age 74)","Attorney General, Maine House","January 2, 2019",2023,List
Maryland,,Larry Hogan,,Republican,"May 25, 1956 (age 65)",Secretary of Appointments,"January 21, 2015",2023 (term limits),List
Massachusetts,,Charlie Baker,,Republican,"November 13, 1956 (age 65)","Swampscott Selectman, Secretary of Administration and Finance, Secretary of Health and Human Services","January 8, 2015",2023 (retiring),List
Michigan,,Gretchen Whitmer,,Democratic,"August 23, 1971 (age 50)","Democratic Leader in the Michigan Senate, Michigan House, Ingham County Prosecutor","January 1, 2019",2023,List
Minnesota,,Tim Walz,,Democratic–Farmer–Labor,"April 6, 1964 (age 57)",U.S. House,"January 7, 2019",2023,List
Mississippi,,Tate Reeves,,Republican,"June 5, 1974 (age 47)","Lieutenant Governor, Treasurer","January 14, 2020",2024,List
